"","county","state","tract","B01001_001E","ukrainian","turkish","romanian","russian","polish","german","italian","french","arabian","fips","boro_ct2010"
"132","47","36","096600",2558,0,0,0,0,0,0,69,0,0,3,"3096600"
"133","47","36","100800",2205,0,0,0,18,6,6,39,7,61,3,"3100800"
"134","47","36","117202",3104,0,0,0,10,0,57,102,0,0,3,"3117202"
"135","47","36","118400",5361,0,0,0,0,9,47,85,0,0,3,"3118400"
"136","47","36","109800",2254,0,0,0,5,4,0,29,0,10,3,"3109800"
"137","47","36","115000",2855,0,0,0,0,0,0,0,0,0,3,"3115000"
"138","47","36","029300",3156,0,0,0,37,0,30,48,0,0,3,"3029300"
"139","47","36","088200",6409,91,0,0,0,0,20,77,0,0,3,"3088200"
"140","47","36","089000",5892,0,0,0,0,0,0,0,0,0,3,"3089000"
"141","47","36","089400",3449,0,0,0,0,8,8,18,0,100,3,"3089400"
"142","47","36","093000",2808,0,0,0,0,0,0,1,0,0,3,"3093000"
"143","47","36","033700",4254,0,0,7,107,38,85,26,25,0,3,"3033700"
"144","47","36","034200",6404,414,0,0,674,34,0,49,0,30,3,"3034200"
"145","47","36","034900",6041,0,0,0,0,69,7,19,0,57,3,"3034900"
"146","47","36","041900",3871,0,12,0,10,15,50,47,0,18,3,"3041900"
"147","47","36","032300",3665,0,0,0,0,12,126,43,17,130,3,"3032300"
"148","47","36","038900",2943,0,0,11,29,197,78,40,52,0,3,"3038900"
"149","47","36","043400",3480,273,0,0,447,37,75,427,0,207,3,"3043400"
"150","47","36","043500",5202,0,0,0,0,31,180,17,0,1,3,"3043500"
"151","47","36","049800",4624,76,0,0,104,204,97,350,24,56,3,"3049800"
"152","47","36","043900",4146,0,0,0,11,53,41,0,0,0,3,"3043900"
"153","47","36","026500",4011,0,8,0,20,41,118,34,143,0,3,"3026500"
"154","47","36","049000",6290,102,0,0,320,489,224,291,97,36,3,"3049000"
"155","47","36","049700",2786,10,0,0,83,189,141,511,37,11,3,"3049700"
"156","47","36","050100",3157,0,0,0,67,104,315,945,20,19,3,"3050100"
"157","47","36","008400",3895,9,0,0,0,45,52,214,18,84,3,"3008400"
"158","47","36","053400",4400,122,73,0,176,59,106,11,9,14,3,"3053400"
"159","47","36","054500",8252,0,0,157,0,184,60,0,0,0,3,"3054500"
"160","47","36","075400",1495,4,0,15,116,58,10,60,0,106,3,"3075400"
"161","47","36","076200",5214,225,0,8,143,202,19,2,0,72,3,"3076200"
"162","47","36","081800",4667,0,0,0,0,0,51,42,36,137,3,"3081800"
"163","47","36","013300",4462,60,0,24,152,105,406,631,225,56,3,"3013300"
"164","47","36","015300",2843,24,28,29,156,180,250,201,146,39,3,"3015300"
"165","47","36","016300",3225,18,0,0,174,175,196,183,15,64,3,"3016300"
"166","47","36","011400",4538,74,0,29,36,194,25,164,0,9,3,"3011400"
"167","47","36","015500",3741,65,0,0,292,144,468,373,146,22,3,"3015500"
"168","47","36","033300",4531,8,0,0,218,181,20,8,0,105,3,"3033300"
"169","47","36","018300",2817,39,0,13,136,214,230,225,159,0,3,"3018300"
"170","47","36","022000",4924,27,0,254,10,595,9,70,0,0,3,"3022000"
"171","47","36","094401",4149,0,0,0,0,0,0,0,0,0,3,"3094401"
"172","47","36","022400",5780,28,0,18,59,302,10,261,12,52,3,"3022400"
"173","47","36","118800",4760,0,0,0,0,0,0,54,0,0,3,"3118800"
"174","47","36","042200",3523,63,8,0,145,35,19,166,0,318,3,"3042200"
"175","47","36","029600",5845,271,0,30,620,124,16,491,13,114,3,"3029600"
"176","47","36","092400",2906,0,0,0,4,0,0,0,0,0,3,"3092400"
"177","47","36","093200",1201,0,0,0,0,0,0,21,0,0,3,"3093200"
"178","47","36","120000",2576,0,0,0,0,0,0,23,0,0,3,"3120000"
"179","47","36","016100",3243,0,17,37,167,104,254,222,51,9,3,"3016100"
"180","47","36","016400",774,0,36,0,0,0,37,46,19,0,3,"3016400"
"181","47","36","016800",1676,9,0,5,48,108,58,577,11,24,3,"3016800"
"182","47","36","039400",2464,37,36,0,35,6,0,163,0,265,3,"3039400"
"183","47","36","031701",3306,8,0,0,19,9,96,165,117,14,3,"3031701"
"184","47","36","028502",2938,0,0,0,0,0,0,0,0,0,3,"3028502"
"185","47","36","029800",4126,25,0,0,370,94,20,579,0,91,3,"3029800"
"186","47","36","030000",4237,17,0,67,94,61,40,257,41,63,3,"3030000"
"187","47","36","038200",6197,35,0,0,150,16,0,106,0,0,3,"3038200"
"188","47","36","079802",5985,8,0,0,73,55,298,131,16,157,3,"3079802"
"189","47","36","036900",5619,0,0,0,27,6,84,26,13,38,3,"3036900"
"190","47","36","100600",2441,5,0,0,23,5,0,10,0,0,3,"3100600"
"191","47","36","043700",6449,15,0,18,27,23,51,251,10,15,3,"3043700"
"192","47","36","119200",3028,0,0,0,0,0,0,18,0,23,3,"3119200"
"193","47","36","019600",4430,17,0,0,6,57,14,776,0,396,3,"3019600"
"194","47","36","050900",4743,0,0,83,0,205,97,12,0,5,3,"3050900"
"195","47","36","051200",5907,19,0,0,15,80,73,84,86,0,3,"3051200"
"196","47","36","051300",5058,37,0,18,195,34,160,290,25,77,3,"3051300"
"197","47","36","052300",5511,0,0,68,36,16,232,157,18,9,3,"3052300"
"198","47","36","053100",9068,0,0,256,0,454,0,29,0,0,3,"3053100"
"199","47","36","025300",2936,7,17,21,28,9,151,151,17,8,3,"3025300"
"200","47","36","030100",2675,0,0,0,0,0,33,9,0,0,3,"3030100"
"201","47","36","033000",4948,225,0,0,83,26,120,109,0,0,3,"3033000"
"202","47","36","021200",4858,8,0,0,127,126,35,313,20,143,3,"3021200"
"203","47","36","058000",4164,108,26,0,180,8,31,206,7,367,3,"3058000"
"204","47","36","082200",7494,0,0,0,13,106,100,19,0,15,3,"3082200"
"205","47","36","027600",4103,204,0,0,91,51,58,246,0,53,3,"3027600"
"206","47","36","005400",3054,172,0,0,264,72,189,658,65,194,3,"3005400"
"207","47","36","006200",2908,35,3,0,56,64,62,433,11,581,3,"3006200"
"208","47","36","019000",4682,44,0,0,33,208,100,581,50,135,3,"3019000"
"209","47","36","036002",4241,755,0,11,688,107,32,97,0,189,3,"3036002"
"210","47","36","038300",4525,0,0,0,0,17,95,72,36,0,3,"3038300"
"211","47","36","090200",3290,0,0,0,0,20,2,0,0,7,3,"3090200"
"212","47","36","041402",1783,123,63,0,96,16,0,0,0,121,3,"3041402"
"213","47","36","041700",3215,0,0,0,0,28,8,53,31,0,3,"3041700"
"214","47","36","097400",3065,0,0,0,0,0,30,13,15,0,3,"3097400"
"215","47","36","099000",1724,0,0,0,0,0,0,18,0,140,3,"3099000"
"216","47","36","000501",4536,55,9,9,335,180,409,349,82,26,3,"3000501"
"217","47","36","000502",2756,44,0,12,205,265,226,266,46,9,3,"3000502"
"218","47","36","110400",4675,0,0,0,10,0,0,0,0,0,3,"3110400"
"219","47","36","119000",2709,0,0,0,0,0,1,27,28,0,3,"3119000"
"220","47","36","123700",6300,0,0,185,24,178,131,69,20,0,3,"3123700"
"221","47","36","119600",4925,0,0,0,1,0,0,20,0,0,3,"3119600"
"222","47","36","120200",1924,0,0,0,6,0,8,6,8,0,3,"3120200"
"223","47","36","039700",3701,13,0,0,33,19,104,68,0,10,3,"3039700"
